N5;ある et いる;ある・いる : il y a ~ (existence);ある : pour objets inanimés / いる : pour êtres vivants\nSouvent utilisés avec la particule が pour introduire ce qui existe / est présent;Nom + が + ある / いる;申し訳ありません明日は先約があります。\nExcusez-moi mais j'ai un rendez-vous déjà prévu demain。\n私の部屋にはあまり家具がありません。\nJe n'ai pas beaucoup de meubles dans ma chambre。\nウッドさんには息子がいませんでした。\nMr Wood n'avait pas de fils。\n私には奥さんがピアニストである友人がいる。\nJ'ai un ami dont la femme est pianiste。
N5;あとで;後で (あとで) : après avoir ~, après que ~, après ~ ;Indique qu’une action B se produit après une action A (≠ てから qui exprime un ordre plus direct)\nPeut être utilisé avec noms ou verbes au passé;Nom + の + 後で\nVerbe forme en 〜た + 後で;弁護士と相談した後で、決定をお知らせします。\nJe vous ferai connaître ma décision après en avoir discuté avec mon avocat。\n列車が出てしまった後で、私は駅に着いた。\nJe suis arrivé à la gare après que le train soit parti。\n地面は雨の後で濡れている。\nLe sol est trempé après la pluie。\n映画の後で、彼らは眠ってしまいます。\nIls se sont endormis après le film。
N5;〜だす;Base verbale + だす : se mettre à faire ~ (subitement);Exprime qu’une action débute brusquement ou sans signe avant-coureur\nSouvent des actions spontanées, émotionnelles (pleurer, courir…);Verbe en ます sans ます + 出す (だす);彼は泣き出した。\nIl s'est mis à pleurer。\n動き出す。\nSe mettre à bouger。
N5;〜はじめる;Base verbale + はじめる : commencer à faire ~;Marque le début d’une action progressive ou observable\n≠ 出す qui insiste sur la soudaineté;Verbe en ます sans ます + 始める (はじめる);葉が色付き始めた。\nLes feuilles ont commencé à changer de couleur。\n潮が満ち始めている。\nLa marée commence à monter。
N5;〜にいく / にくる;Base verbale + に行く / に来る : aller / venir faire quelque chose;Utilisé pour exprimer un but ou une intention de déplacement dans le but de faire une action;Verbe en ます sans ます + に行く / に来る;明後日野球場に野球を見に行く予定だ。\nJ'ai prévu d'aller voir un match de baseball après-demain。\n友達が明日家に遊びに来る。\nUn ami vient jouer à la maison demain。
N5;〜すぎる;Base verbale / adjectif + すぎる : exprimer l’excès;Indique qu’un état ou une action est excessif(ve). Peut s’utiliser avec adjectifs en い, adjectifs en な, ou verbes. すぎる est un verbe ichidan.;Verbe en ます sans ます + すぎる\nAdj. en い → remplacer い par すぎる\nAdj. en な → enlever le な, ajouter すぎる;高すぎる！\nC'est trop cher！\n働きすぎると体によくないだろう。\nTrop travailler n’est pas bon pour la santé。\n総浚いする時に、真面目すぎる。\nIl est trop sérieux quand il révise。\n彼は酒の飲みすぎを控えた。\nIl s’est retenu de trop boire。
N5;〜中（ちゅう・じゅう）;Nom + 中（ちゅう・じゅう）: pendant / partout dans / tout au long de;ちゅう : avec un événement ponctuel (pendant ~)\nじゅう : avec un lieu (partout dans ~) ou une période (tout au long de ~);Nom + 中;体育の授業中にケガをした。\nJe me suis blessé durant le cours de sport。\nそのニュースは日本中に広まった。\nCette nouvelle s'est propagée partout au Japon。\n明日は一日中家にいるつもりです。\nDemain, je compte rester à la maison toute la journée。
N5;で;Nom + で : lieu / moyen / méthode / cause;Indique où se déroule une action, le moyen employé ou la méthode. Peut aussi se traduire par « parmi » selon le contexte.;Nom + で;玄関で傘をささないように。\nN’ouvrez pas votre parapluie dans le hall。\n私のクラスメートで、韓国語を話せる人がない。\nParmi mes camarades, personne ne parle coréen。\n答えはペンで書きなさい。\nÉcris la réponse avec un stylo。
N5;でしょう / だろう;〜でしょう / 〜だろう : il est probable que ~ / n’est-ce pas ~;Exprime une supposition ou probabilité. でしょう est poli, だろう plus neutre. En fin de phrase, peut marquer une confirmation.;Phrase + でしょう / だろう;彼は来るだろう。\nIl devrait venir。\n今夜は雪になるだろう。\nIl va probablement neiger ce soir。\n彼は勝つでしょうね。\nIl va gagner, non？
N5;Base verbale en 〜い（forme conjonctive）;Forme en 〜い : base verbale polyvalente;1. Sert à relier des actions (≠ て)\n2. Sert à construire des mots (substantifs dérivés de verbes)\n3. Sert à accueillir suffixes (〜ながら、〜やすい…)\n4. Sert en keigo (お + base + になる);Verbe en ます sans ます;朝ご飯に私はパンを食べ、お茶を飲み、テレビを見る。\nAu petit-déj, je mange du pain, bois du thé et regarde la TV。\n彼は駅まで走り、その列車に乗った。\nIl courut jusqu’à la gare et monta dans le train。
