N4;あまり〜ない;あまり + verbe en -ない : presque pas ~, pas tellement ~;Peut être traduit par : presque pas ~, peu ~, pas tellement ~. あまり est un adverbe de fréquence qui sert à minimiser l’intensité ou la quantité d’une action ou d’un état.;あまり + verbe à la forme neutre au négatif;最近あまり会わない。\nOn ne s’est pas tellement vu ces temps-ci。\n彼女はあまりお金をもっていない。\nElle n’a pas tellement d’argent。\n今日は風があまりない。\nIl n’y a presque pas de vent aujourd’hui。
N4;〜あう;Base verbale + あう : faire quelque chose réciproquement;Exprime qu’une action est réalisée mutuellement, de façon réciproque entre plusieurs personnes.;Verbe à la forme en ます sans ます + あう (qui se conjugue ensuite comme un verbe godan);会議では下記を話し合うつもりです。\nJ’aimerais discuter avec vous des points suivants à la réunion。\n二人は手を取り合って月明かりの中を歩いた。\nIls marchaient en se tenant mutuellement la main sous le clair de lune。
N4;〜ながら;Base verbale + ながら : le gérondif;Exprime deux actions simultanées où la première est accessoire par rapport à la seconde. Peut se traduire par : en faisant ceci, on fait aussi cela.;Verbe à la forme en ます sans ます + ながら;歩きながら話しましょう。\nParlons tout en marchant。\n私は音楽を聞きながら勉強をします。\nJ’étudie tout en écoutant de la musique。
N4;〜そう;Base verbale + そう : sembler, avoir l’air de ~;Exprime une impression personnelle, un jugement visuel ou auditif sur une situation ou un état apparent.;Verbe à la forme en ます sans ます + そう\nAdj. en -い : remplacer い par そう\nAdj. en -な : retirer le な et ajouter そう;急ぐ必要はなさそうだ。\nIl ne semble pas nécessaire de se presser。\n彼女は悲しそう。\nElle semble triste。\n彼は正直そうだ。\nIl semble honnête。\n熱がありそうだ。\nIl a l’air d’avoir de la fièvre。
N4;〜つづける;Base verbale + つづける : continuer de faire quelque chose;Indique qu’une action est poursuivie sans interruption sur une certaine durée.;Verbe à la forme en ます sans ます + つづける (qui se conjugue ensuite comme un verbe ichidan);選手は走り続けました。\nLe joueur continua de courir。\n物価は上がり続けるだろう。\nLes prix vont continuer d’augmenter。
N4;〜やすい / 〜にくい;Base verbale + やすい / にくい : facile ou difficile de faire une action;Exprime la facilité (やすい) ou la difficulté (にくい) à réaliser une action. Ces deux formes se conjuguent comme des adjectifs en -い.;Verbe à la forme en ます sans ます + やすい / にくい;この薬は飲みにくい。\nCe médicament est dur à boire。\nこのカメラは使いやすい。\nCet appareil photo est facile à utiliser。\nこの歌は覚えやすい。\nCette chanson est facile à retenir。
N4;〜べき;Verbe + べき : devoir faire quelque chose (obligation morale);Exprime une obligation morale ou ce qu’il conviendrait de faire. Plus fort que はず. Ne s’utilise pas au négatif — préférer alors ほうがいい.;Verbe forme neutre affirmative + べき\nする devient すべき\nNom / adj. nominal + であるべき;両親には従うべきだ。\nTu dois obéir à tes parents。\n校則は順守すべきだ。\nTu dois respecter le règlement de l’école。\n約束をしたら守るべきだ。\nSi on fait une promesse, il faut la tenir。
N4;〜なら(ば);Conditionnel avec なら(ば) : conditionnel contextuel;Exprime ce qui se produira dans un certain contexte. Peut être utilisé pour répondre à une information donnée ou faire une suggestion.;Verbe neutre / Nom / adj. en -な + なら(ば);必要ならば手伝わせて下さい。\nLaisse-moi t’aider si c’est nécessaire。\n明日ならどうですか。\nÀ propos de demain, qu’en diriez-vous？
N4;〜と;Conditionnel avec と : conditionnel logique / conséquence automatique;Exprime une conséquence naturelle, une action automatique ou inévitable. Pas utilisé pour exprimer la volonté du locuteur.;Verbe forme neutre / Nom ou adj. en -な + だ + と;ボールを落とすと落ちる。\nSi je lâche la balle, elle tombera。\nこのボタンを押すと、ドアが開きます。\nSi tu presses ce bouton, la porte s’ouvre。
N4;〜ば;Conditionnel en 〜ば : conditionnel général;Exprime une condition générale, sans supposition ou subjectivité. Sert à exprimer “si ~ alors ~” dans un style neutre et factuel.;Verbe neutre : remplacer う final par えば\nAdj. en -い → ければ\nない → なければ;成功したければ一生懸命働かなければならない。\nSi tu veux réussir, il faudra travailler de toutes tes forces。\n早起きすれば間に合いますよ。\nSi tu te lèves tôt, tu y arriveras à temps。
