N2;あげく（に）;挙げ句に (あげくに) : finalement, en fin de compte;"Peut se traduire par : finalement, en fin de compte, au bout du compte
Indique qu'après une période de lutte ou de réflexion, on aboutit à un résultat négatif ou regrettable
Utilisé pour des faits passés, souvent avec une nuance émotionnelle de déception";"Nom + あげく(に)
Verbe à la forme passée neutre (-た) + あげく(に)";"散々考えたあげくその計画を実行にうつした。
Après y avoir durement réfléchi, j'ai finalement mis ce plan à exécution。
両親に相談したあげくに、彼と離婚することにした。
Après avoir consulté ses parents, elle a décidé en fin de compte de divorcer。";;;;
N2;あまり;あまり : tellement ~ que, trop ~;"Peut se traduire par : ~ tellement que, ~ trop que
Exprime une intensité excessive dans une émotion ou un comportement qui entraîne une conséquence inattendue ou indésirable
Utilisé avec des verbes, noms ou adjectifs exprimant des sentiments ou des états forts";"Verbe à la forme neutre + あまり
Adjectif en な avec le な final + あまり
Nom + の + あまり";"驚きのあまり話す力がなくなってしまった。
Mon étonnement était tel que je suis resté sans voix。
子供の将来を思うあまり、厳しすぎることを言ってしまった。
Elle pense tellement à l’avenir de ses enfants qu’elle leur parle trop durement。
彼は働くあまり、病気になってしまった。
Il travaille tellement qu’il en est tombé malade。";;;;
N2;ばかりか / ばかりでなく;ばかりか / ばかりでなく : non seulement ~ mais aussi ~;"Peut se traduire par : non seulement ~ mais aussi ~ / pas seulement ~ mais également ~
Permet d’enchaîner deux faits autour du même sujet : le premier attendu, le second surprenant ou notable
ばかりか est un peu plus emphatique que ばかりでなく ; le second membre est souvent introduit par も";"Adjectif en -な + である + ばかりか / ばかりでなく
Adjectif en -い + ばかりか / ばかりでなく
Verbe à la forme neutre + ばかりか / ばかりでなく
Nom + ばかりか / ばかりでなく";"彼女はきれいなばかりでなく、利口だ。
Non seulement elle est jolie, mais en plus elle est intelligente。
柔道は若者の健康によいばかりか、人格形成にもおおいに役立つ。
Le judo n’est pas seulement bon pour la santé des jeunes, il est aussi précieux pour leur formation personnelle。
お腹が空いていたばかりでなく、私達は喉の渇きにも苦しんでいた。
Nous n’avions pas seulement faim, mais aussi terriblement soif。
彼女は情報ばかりでなく助言も私にくれた。
Elle m’a donné non seulement des informations, mais aussi des conseils。";;;;
N2;ばかりに;ばかりに : à cause de ~, simplement parce que ~;"Peut se traduire par : à cause de ~, juste parce que ~, simplement parce que ~
Exprime une conséquence négative ou regrettable issue d’une cause mineure
Souvent utilisé pour montrer un fort sentiment de regret envers la cause, jugée excessive ou injuste";"Verbe à la forme neutre ou adjectif en い + ばかりに
Nom + である + ばかりに
Adjectif en な avec le な final + ばかりに";"うそをついたばかりに恋人に嫌われてしまう。
Juste à cause d’un mensonge, ma petite amie me déteste。
お金がないばかりに、大学に進学できなかった。
Simplement parce que je n’avais pas d’argent, je n’ai pas pu aller à l’université。";;;;
N2;がたい;〜がたい : difficile de ~, dur à ~ (mentalement);"Peut se traduire par : difficile à ~ / presque impossible de ~
Exprime qu’il est mentalement ou émotionnellement difficile de faire une action, notamment des verbes comme 信じる, 許す, 忘れる
Non utilisé pour des actions physiques";Verbe en ます sans le ます final + がたい;"彼が与えた理由は理解しがたい。
La raison qu’il m’a donnée est difficile à comprendre。
あなたの言うことは信じがたい。
C’est très difficile de croire ce que tu dis。
その景色の美しさは筆舌に尽くしがたい。
La beauté de ce paysage est difficile à décrire avec des mots。";;;;
N2;ぎみ;〜ぎみ : avoir tendance à ~, un peu ~;"Peut se traduire par : avoir tendance à ~ / ressentir un peu ~
1) Pour des tendances visibles (忘れ気味 : tendance à oublier)
2) Pour exprimer un symptôme léger (風邪気味 : léger rhume)";"Verbe en ます sans le ます final + 気味
Nom + 気味";"彼女は風邪気味だといった。
Elle a dit qu’elle avait un léger rhume。
最近疲れ気味です。
Je suis un peu fatigué ces temps-ci。
彼は人の名前を忘れ気味である。
Il a tendance à oublier les noms des gens。";;;;
N2;かける;〜かける : laisser inachevé, sur le point de ~;"Peut se traduire par : commencer sans finir, être sur le point de ~
Décrit une action qui a été commencée mais interrompue ou qui est restée incomplète
Peut aussi décrire un état imminent (死にかける : sur le point de mourir)";Verbe en ます sans le ます final + かける;"彼は死にかけた。
Il était sur le point de mourir。
宿題をやりかけにしておいた。
J’ai laissé mes devoirs inachevés。
彼女はプロジェクトをやりかけて、その途中で会社を退職した。
Elle a quitté la société en laissant le projet inachevé。";;;;
N2;かねない;〜かねない : il est à craindre que ~, risquer de ~;"Peut se traduire par : risquer de ~ / il pourrait bien ~
Exprime une possibilité ou une probabilité que survienne quelque chose de négatif
Utilisé pour tirer une conclusion logique d’une situation préoccupante";Verbe en ます sans le ます final + かねない;"その少年は盗みをしかねない。
Ce garçon risque de commettre un vol。
スキャンダルはその嘘を暴きかねない。
Ce scandale pourrait bien faire éclater ces mensonges。";;;;
N2;かねる;〜かねる : ne pas pouvoir (moralement / pratiquement) ~;"Peut se traduire par : il m’est difficile de ~ / je crains de ne pas pouvoir ~
Exprime une impossibilité liée à des circonstances morales, sociales ou contextuelles (≠ incapacité physique)
Souvent utilisé pour refuser poliment une demande dans le langage formel ou professionnel";Verbe en ます sans le ます final + かねる;"申し訳ありませんが、それには賛成しかねます。
Je suis désolé, mais je ne peux pas être d’accord avec cela。
担当ではないため、お答えしかねます。
N’étant pas la personne responsable, je ne peux pas répondre。
ご招待には応じかねます。
Je suis au regret de ne pas pouvoir répondre à votre invitation。";;;;
N2;つつある;〜つつある : être progressivement en train de ~;"Peut se traduire par : être en train de ~ lentement / petit à petit
Exprime un changement en cours d'évolution, souvent utilisé à l’écrit, dans des contextes formels";Verbe en ます sans le ます final + つつある;"問題は改善されつつあるが時間がかかりそうだ。
Le problème s’améliore peu à peu, mais cela prendra du temps。
事件の真相は明らかになりつつある。
La vérité sur l’affaire commence à émerger progressivement。";;;;
N2;うる / えない;〜うる / 〜えない : être possible de ~ / ne pas être possible de ~;"うる (ou 得る) : possible de ~
えない : impossible de ~
Exprime la plausibilité ou la faisabilité d’un événement, souvent dans un registre formel ou logique (≠ capacité personnelle)";Verbe en ます sans le ます final + うる / えない;"肺がんの原因にもなりうる。
Cela pourrait être une cause du cancer du poumon。
彼女が自殺したということなどあり得ない。
Il est impossible qu’elle se soit suicidée。
この事実は無視し得ない。
On ne peut pas ignorer ce fait。";;;;
N2;だけ;だけ : autant que ~, tout ce que ~;"Peut se traduire par : autant que ~ / autant que l’on veut / dans la limite de ~
Souvent utilisé avec des formes comme できるだけ (autant que possible), 好きなだけ (autant que tu veux), etc.";"
Verbe à la forme neutre + だけ
Verbe au potentiel + だけ
Verbe en たい forme + だけ
Nom ou adjectif + だけ";"君がいたいだけここにいてもいいよ。
Tu peux rester ici autant que tu veux。
好きなだけ取りなさい。
Prends-en autant que tu veux。
できるだけ多くの英単語を覚えるべきだ。
Tu devrais mémoriser autant de mots anglais que possible。";;;;
N2;だけ;だけ : autant que ~, tout ce que ~;"Peut se traduire par : autant que ~ / autant que l’on veut / dans la limite de ~
Souvent utilisé avec des formes comme できるだけ (autant que possible), 好きなだけ (autant que tu veux), etc.";"
Verbe à la forme neutre + だけ
Verbe au potentiel + だけ
Verbe en たい forme + だけ
Nom ou adjectif + だけ";"君がいたいだけここにいてもいいよ。
Tu peux rester ici autant que tu veux。
好きなだけ取りなさい。
Prends-en autant que tu veux。
できるだけ多くの英単語を覚えるべきだ。
Tu devrais mémoriser autant de mots anglais que possible。";;;;
N2;だけに;〜だけに : justement parce que ~ / d’autant plus que ~;"Peut se traduire par : parce que ~, précisément en raison de ~
Exprime une cause forte ou une situation particulière qui rend la conséquence encore plus marquée
Peut exprimer aussi bien un effet positif qu’un effet négatif";"Verbe à la forme neutre + だけに
Nom ou adjectif en な + な + だけに";"彼はずっと運動していないだけにやっぱり太った。
Il ne faisait plus de sport depuis longtemps et il a fini par grossir, comme on pouvait s’y attendre。
やっぱり東京だけに世界中の食べ物がある。
Comme on pouvait s’y attendre de Tokyo, on y trouve des plats du monde entier。";;;;
N2;どころではない / どころではなく;〜どころではない / 〜どころではなく : pas le moment de ~, loin de ~;"Peut se traduire par : être loin de ~, hors de question de ~, ce n’est pas le moment de ~
Utilisé pour dire qu’à cause d’une circonstance, il est impensable de faire l’action évoquée
どころではない : souvent en fin de phrase
どころではなく : en milieu de phrase";Verbe à la forme neutre ou nom + どころではない / どころではなく;"最近仕事で忙しくて、買い物どころではなかった。
J’étais bien trop occupé par le travail pour faire du shopping。
春だというのに、花見どころではなく、夜遅くまで働いている。
C’est le printemps, mais je travaille trop tard pour profiter des cerisiers en fleurs。""〜ではないか";〜ではないか : pourquoi ne pas ~ ? / n'est-ce pas que ~ ?;"Permet de formuler une suggestion forte ou une invitation insistante
Souvent utilisé dans des discours ou expressions emphatiques
Forme : verbe conjectural + ではないか / じゃないか (forme volitive + ではないか)";Verbe à la forme volitive + ではないか / じゃないか;"この論議はやめようではないか。
Ne pourrait-on pas arrêter cette discussion ?
一緒に頑張ろうじゃないか！
Pourquoi ne pas faire de notre mieux ensemble ?"
