Niveau;Titre;Nom;Description;Construction;Exemples
N5;ある et いる;ある et いる : il y a ~;"Permet d'indiquer le fait qu'il y a ou qu'il existe quelque chose 
Pour ce qui est inanimé (objet; évènement); on utilise ある 
Pour ce qui est animé (être vivant); on utilise いる 
Le sujet est presque tout le temps marqué par la particule が";Nom + が + ある ou いる;"申し訳ありません明日は先約があります。
Excusez-moi mais j'ai un rendez-vous déjà prévu demain.
私の部屋にはあまり家具がありません。
Je n'ai pas beaucoup de meubles dans ma chambre.
ウッドさんには息子がいませんでした。
Mr Wood n'avait pas de fils.
私には奥さんがピアニストである友人がいる。
J'ai un ami dont la femme est pianiste.
"
N5;あとで;"後で (あとで) : après avoir ~; après que ~; après ~";"Permet d'indiquer qu'une action se produit après une autre
 Peut se traduire par : après avoir ~; après que ~; après ~";Nom + の + 後で Verbe à la forme passé neutre (-た) + 後で;"弁護士と相談した後で、決定をお知らせします。
Je vous ferais connaître ma décision après en avoir discuté avec mon avocat.
列車が出てしまった後で、私は駅に着いた。
J'irais à la gare après que le train soit totalement parti.
地面は雨の後で濡れている。
Le sol est trempé après la pluie.
映画の後で、彼らは眠ってしまいます。
Ils se sont endormis après le film.
"
N5;Base verbale + だす;Base verbale + 出す (だす) : se mettre à faire quelque chose;Sert à exprimer le fait qu'on va commencer subitement à faire une action;"Verbe dans sa forme en ます et on remplace le ます par だす だす se conjugue ensuite comme un verbe godan   
出します 
出して 
出さない .
.
.
Exemple : 動く (うごく) - 動きます bouger)  (うごきます) (bouger) -> 動き出す (うごきだす) (se mettre à";"彼は泣き出した。
Il s'est mis à pleurer.
"
N5;Base verbale + はじめる;Base verbale + 始める (はじめる) : commencer à ~;Indique le commencement d'une action Peut se traduire par : commencer à ~;"Verbe dans sa forme en ます et on remplace le ます par はじめる 
はじめる se conjugue ensuite comme un verbe ichidan";"葉が色付き始めた。
Les feuilles ont commencé à changer de couleur.
潮が満ち始めている。
La marée est en train de commencer à monter.
"
N5;Base verbale + にいく ou にくる;Base verbale + に行く (にいく) ou に来る (にくる) : aller ou venir faire quelque chose;"Pour に行く : aller faire quelque chose 
Pour に来る : venir faire quelque chose";"Verbe dans sa forme en ます; on l'enlève et on ajoute à la suite に行く ou に来る";"明後日野球場に野球を見に行く予定だ。
J'ai prévu d'aller voir du baseball au stade après-demain.
友達が明日家に遊びに来る。
Un ami vient jouer à la maison demain.
"
N5;Base verbale + すぎる;Base verbale + 過ぎる (すぎる) : exprimer l'excès;"過ぎる exprime l'excès d'un état ou d'une action 過ぎる se conjugue ensuite comme un verbe ichidan pour se mettre à la forme voulue 
過ぎません : ne pas dépasser (polie) 
過ぎた : avoir dépassé (neutre)
 過ぎない : ne pas dépasser (neutre) 
過ぎて : dépasser (neutre)  
Si on utilise すぎ à la place de すぎる; on transforme le verbe ou adjectif en nom : le fait de trop ~";"Adjectif en -い : on remplace le い par すぎる
Adjectif en -な : on enlève le な en on ajoute すぎる 
Après Verbe : on prend sa forme en ます et on remplace le ます par すぎる";"高すぎる！ C'est trop cher ! 働きすぎると体によくないだろう。
A trop travailler; ce ne sera pas bon pour ton corps.
総浚いする時に、真面目すぎる。
Il est trop sérieux quand il révise.
彼は酒の飲みすぎを控えた。
Il s'est retenu de trop boire d'alcool.
"
N5;ちゅう ou じゅう;"中 (ちゅう ou じゅう) : durant ~; pendant ~; partout dans ~; tout au long de ~";"1er sens Avec un nom; peut se traduire par : durant ~; pendant ~ 中 se prononce alors ちゅう 
2ème sens Avec un nom indiquant un lieu; peut se traduire par : partout en ~; partout dans ~ 中 se prononce alors じゅう 
3ème sens Avec un nom indiquant une période de temps; peut se traduire par : tout au long de ~ 中 se prononce alors じゅう";Nom + 中;"体育の授業中にケガをした。
Je me suis blessé durant le cours de sport.
彼は仕事中に事故にあった。
Il a eu un accident pendant le travail.
そのニュースは日本中に広まった。
Cette nouvelle s'est propagée partout au Japon.
彼女は世界中を旅行した。
Elle a voyagé partout dans le monde.
明日は一日中家にいるつもりです。
Demain; j'ai prévu de rester à la maison tout au long de la journée.
"
N5;で;"で : particule de moyen; de méthode; de lieu";"Indique le lieu où une action se déroule Exceptions si le lieu est large ou qu'il y a un attachement entre la personne et le lieu 
Pour aussi se traduite par : parmi ~ Indique la méthode utilisée";Nom + で;"玄関で傘をささないように。
N'ouvrez pas votre parapluie dans le hall.
彼女は時々公園を散歩します。
Elle se promène parfois dans le parc.
今年広島に住んでいます。
Je vis à Hiroshima cette année.
あの椅子に座ってください。
Asseyez-vous sur cette chaise s'il vous plait.
私のクラスメートで、韓国語を話せる人がない。
Parmi mes camarades de classe; aucun n'est capable de parler le coréen.
答えはペンで書きなさい。
Veuillez écrire votre réponse avec un stylo.
"
N5;でしょう et だろう;でしょう et だろう : exprimer la probabilité;"Déformation de です/だ pour exprimer la probabilité 
です est devenu でしょう 
だ est devenu だろう 
Placé en fin de phrase でしょう signifie ‘n’est-ce pas ?’ ; on peut donc se passer de la particule か 
Peut se traduire par : je pense; apparemment; n'est ce pas ?; il se pourrait que ~";Phrase + でしょう ou だろう;"彼は来るだろう。
Il devrait venir.
今夜は雪になるだろう。
Il va probablement neiger cette nuit.
彼は勝つでしょうね。
Il va gagner; n'est-ce pas ?"
N5;Forme conjonctive en -い;Forme conjonctive en -い : base verbale;"1er emploi
 Permet de créer certains noms à partir de verbes (substantivation) Par exemple :  
話(はなし : le discours) vient de 話します(はなします : parler) 
怒り(いかり : la colère) vient de 怒ります(いかります : se mettre en colère) 
飲み物(のみもの : la boisson) vient de 飲みます(のみます : boire) + 物  
2ème emploi Permet de relier plusieurs énoncés au sein d'une même phrase comme avec la forme en -て des verbes 
3ème emploi Forme de base qui peut accueillir de nombreux suffixes tels que : 
base verbale + ながら 
base verbale + やすい ou にくい  
4ème emploi Se retrouve dans certaines tournures de keigo telles que : 
des formes honorifiques  
お + base verbale + になる o お + base verbale + なさる des formes humbles o お + base verbale + する o お + base verbale + いたす";Verbe dans sa forme en ます sans le ます;"朝ご飯に私はパンを食べ、お茶を飲み、テレビを見る。
Lors du petit déjeuner; je mange du pain; bois du thé et regarde la TV.
彼は駅まで走り、その列車に乗った。
Il courut jusqu'à la gare et pris le train.
"
